"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Antigua and Barbuda","ATG","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","42.7424516742561","42.5482374600653","42.4286551473069","42.3389345976851","42.2119658119658","42.0163277622249","41.6570752079976","41.3099577432986","40.9490945928834","40.56168068795","40.127583411097","39.7705689047002","39.3304069637676","38.8351085741188","38.3045663098099","37.7283294586516","36.9665529792783","36.1206442333708","35.2172803086175","34.3146287188355","33.4476038747671","32.3555555555556","31.5373459028281","30.8940816386592","30.2783303172158","29.666585543928","29.2454144416067","28.829311322538","28.6593750999392","28.9557345038488","29.696636836494","29.465487406268","29.4589652236971","29.5291977554418","29.526671675432","29.4195964827576","29.0938856858139","28.9290065344999","28.9397083793763","29.0737891400692","29.2190397692149","29.0596667173175","28.8316881169561","28.6104518936023","28.4490565114173","28.3279840125961","27.9847125211161","27.5862886121545","27.1505565319274","26.6929316338355","26.2331915674114","25.7974861602686","25.3679731444161","24.9508251375229","24.5544554455446","",
"Australia","AUS","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","30.1820929142561","30.2536152998344","30.1595327754924","29.9632414369256","29.7603822583816","29.6015195622172","29.460540584035","29.3476132482228","29.2703199293326","29.1851513797376","29.0380371273855","28.7715890487355","28.5021038984789","28.2137868492103","27.87368674137","27.4618262834066","27.1706222346054","26.7024950011107","26.1535216201114","25.651989647134","25.2576245436002","24.7337582265132","24.4024475627047","24.1746350465268","23.9145270462127","23.5674616299886","23.3522834698467","23.0020966267515","22.5980071633113","22.2590520778577","22.0305425513876","21.8251686587034","21.7276309389227","21.6904733609991","21.6342220765378","21.5231034655888","21.4336015162946","21.2989692470215","21.1372548495591","20.9813583755718","20.8408943808819","20.6193369707646","20.4024467079029","20.1899392736501","19.9821970706225","19.7904172389434","19.5697824948846","19.3840574269131","19.2425645104141","19.1251448621978","19.0076570883464","18.9813218849073","18.8914938540354","18.7832946183069","18.711620303024","",
"Austria","AUT","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","22.220854076661","22.4491932762276","22.6449666253069","22.8497594848417","23.099537852826","23.3942484196704","23.6773205061623","23.9842951821664","24.2773358043665","24.4891850163614","24.578421160982","24.5318091149528","24.3621974052176","24.0808798612962","23.7207106016831","23.303576836182","22.7793303117894","22.24532385384","21.6906509439152","21.1124328940947","20.5267050567776","19.9817482913392","19.4616335288235","18.9761663798477","18.5297831787275","18.1232611373389","17.8427382928834","17.5275784723953","17.2308095318286","17.0225934830247","16.9401021543823","16.9630398820499","17.1363324486558","17.3958417331509","17.6199077139706","17.7296953291258","17.7085097556351","17.5490589445927","17.2939211278939","17.0390764143647","16.8418896608124","16.619896552454","16.4665524212977","16.3485323830668","16.198949713931","15.9867601845715","15.7771230995534","15.5092401301484","15.2142270297001","14.9450532102306","14.7286709010239","14.5673699204814","14.4450159346421","14.3555844835879","14.2792414531269","",
"Azerbaijan","AZE","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","38.5808831395661","40.1948076116651","41.5485279389033","42.6660228007471","43.5787948362142","44.2790330233534","44.7491496734088","44.9687071743992","44.9478557464517","44.7068147364432","44.2714786719607","43.5591359778729","42.7978059681345","41.9778455879584","41.0739864478499","40.076918807769","38.9579810158834","37.7747499105381","36.5831554406703","35.4727527963522","34.5037548730611","33.892472974039","33.4035281955913","33.0443982969245","32.8142475928461","32.7091549476207","32.9810898868284","33.2966524880533","33.6251109679119","33.9303676856242","34.1889555093374","34.2571631931673","34.29069161929","34.2681186961125","34.1595345380559","33.9356689640688","33.6012934830324","33.1445965046532","32.5602468072326","31.8621888154282","31.0732097669524","30.0632360003748","29.0414014734924","28.0150022648174","26.9954870507839","26.0112866411207","25.1424100080615","24.3170683752657","23.6004931042418","23.0688243222417","22.7374211982493","22.288911680635","22.1098551008564","22.079935595656","22.0364351040663","",
"Burundi","BDI","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","43.5415216345981","43.8488579853012","44.2360192225973","44.6250181724035","44.8950300419295","45.0034328948625","45.3738396431823","45.5359221050191","45.5461721301715","45.4715647066903","45.3264327778699","45.4950160979338","45.5522807967108","45.5079498692698","45.3949428964144","45.2562162920714","45.0685716544147","44.8659568305605","44.6732736647961","44.5020772957558","44.3708827532192","44.6939186111759","44.947055852073","45.192197321231","45.4861451229367","45.841866945607","46.3571541290273","46.8544787681746","47.3011008534353","47.6348502834828","47.8195541498067","48.4447156133012","48.883256368688","49.1510076328498","49.2796999563583","49.2882066603302","49.3486531357885","49.3213270145133","49.2130278013243","49.037178123972","48.8150637653827","48.08644943225","47.3387404716087","46.6089824440987","45.9402217261561","45.362016371378","44.9522454785613","44.6113477379619","44.3413727024942","44.1345857738406","43.9844153708278","44.167337153431","44.3286293978649","44.4829470476619","44.6421512342769","",
"Belgium","BEL","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","23.8806515528639","24.1302300890842","24.1860462103162","24.112596741105","24.0249874166657","23.9737935711434","23.9276944519582","23.8758434638409","23.8174003064102","23.7268119475846","23.5843080527135","23.3543005705207","23.1079720365228","22.824686277918","22.4874256429104","22.0991265641561","21.7162656003897","21.2804473591767","20.823183586767","20.3909330326495","20.0084072775001","19.6577836000808","19.362395873311","19.1118996590217","18.8826745902515","18.6658633108468","18.4969246947792","18.3374358540986","18.199880324688","18.1018810514564","18.0497243953118","17.9822892661302","17.9654252739069","17.982005152851","17.997214481655","17.9863163573319","17.9384112658157","17.8493745881837","17.7384613110849","17.6367988675252","17.5586022332637","17.4139109684288","17.305798103605","17.2181459939888","17.1264570804515","17.0236888241334","16.9843262322762","16.9244630694742","16.8609969890961","16.8117815578363","16.7814701914313","16.8136263167101","16.8316753043746","16.852196183275","16.8883896257385","",
"Benin","BEN","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","38.5320074682722","38.9738532247744","39.4227942116432","39.8692268222629","40.2790096668602","40.6352854472793","41.148818034879","41.5703598017158","41.9211267787464","42.2262011654393","42.4983896588759","42.912695776935","43.2537755404205","43.5348162133763","43.7665702531632","43.9567889146017","44.2632658008472","44.5034790467628","44.6902167588632","44.8347095447324","44.9444920204926","45.1760580146648","45.3422547696659","45.4603703212971","45.5461233131475","45.6078155223974","45.7688047208599","45.876454201986","45.9425339487234","45.9778257489289","45.990089319295","45.9428560402507","45.8491517463193","45.7218733094249","45.5640722652301","45.374744096639","45.4823893458854","45.5282653658426","45.5247718129386","45.4886595056651","45.4302881730506","45.3144018093047","45.1646206531203","44.9840659949194","44.7687659760519","44.5177566086663","44.3852748736131","44.196640259579","43.9653870691841","43.7050629467734","43.4212272437333","43.2332545042938","43.0103727519933","42.7550456141656","42.4697612356185","",
"Burkina Faso","BFA","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","41.3206410630463","41.6245077716608","41.8381658459879","41.9891690590232","42.1088934615599","42.2146724873615","42.525354508431","42.7958345654705","43.0232939028789","43.1927950143375","43.2977687112517","43.6314282174918","43.8534079085404","43.9983933865802","44.1146951909622","44.2287069659705","44.5626157448545","44.8779539476635","45.1635476096417","45.3994126498372","45.5811363010125","45.9448447694383","46.2009740920135","46.3846633665295","46.5322993120393","46.6552155355806","46.8977856907785","47.0746710472973","47.1928026570592","47.2522924418622","47.2532335311875","47.3388662433191","47.3608912699379","47.3254517442761","47.2402218041995","47.1139585858141","47.1347443108227","47.0907475036287","47.0028561158156","46.8925773037989","46.7698414120537","46.7827079290072","46.750455455804","46.6838650238278","46.5952857525219","46.4959321420937","46.5236032888072","46.5168891591574","46.4828736615942","46.4177689673435","46.3152343394661","46.2677279376335","46.155170334329","45.9912561955085","45.7938161819544","",
"Bangladesh","BGD","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","41.8516020783266","42.2607993247517","42.5368784582679","42.7487201041563","42.9824814209065","43.270286282695","43.6825104803113","44.1124483176553","44.5163798243483","44.8023960555367","44.9077453522093","45.0797147436404","45.1501118270096","45.1384411817379","45.1100891263147","45.1081168113482","45.178813837438","45.1901445782469","45.1502629464133","45.0379177555488","44.8458520614773","44.8035027256476","44.6229727717218","44.3615942176163","44.0890225369961","43.8331787600007","43.596796543761","43.3551899758554","43.0884445992422","42.755592713313","42.3382348301149","41.9649826814067","41.519493657387","41.0183060905101","40.4870381596793","39.9402570856524","39.3981536415396","38.8392472866504","38.2659297526568","37.6766813280878","37.0732587055288","36.5831289519775","36.0730719872506","35.5495217487966","35.016697151268","34.4731345689206","34.0239880300944","33.5562550947715","33.0773996599706","32.5994192781127","32.1276028707562","31.5570456444579","31.0182709696125","30.4978701797511","29.9764096764575","",
"Bulgaria","BGR","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","26.0738358949221","25.8127035744414","25.4479336092411","25.0171270862624","24.5896689800521","24.2003961706751","23.8765004925556","23.577526660982","23.305214299615","23.0525490764717","22.8177353935041","22.6565350113083","22.5152210746075","22.399724030036","22.3109117377861","22.2431093488823","22.2423196009784","22.2389304660986","22.2249169508704","22.1889471999906","22.125121330681","22.0943748597637","22.0095678755165","21.8863124282149","21.7505732860216","21.6117451177053","21.3560155418137","21.1574913841789","20.9628800739125","20.6958884693414","20.3194699624571","19.9972031036173","19.5287308862618","18.9637002540448","18.3990157633573","17.8908021855643","17.3733017735347","16.9366468441228","16.5452966233684","16.1323291619035","15.6736633039644","15.2227474604535","14.7499010054995","14.2946718665539","13.9189744199082","13.6540505614365","13.4493156437751","13.3594939364815","13.3744389874104","13.4449642945087","13.5296046587574","13.6816777066553","13.7841415789525","13.8662473928096","13.9787244206191","",
